PERDV_CVPAG_SYS,Delivery - CVP Allocation (NOD Ag),
PERDV_CVPMI_SYS,Delivery - CVP Allocation (NOD M&I),
PERDV_CVPRF_SYS,Delivery - CVP Allocation (NOD RF),
PERDV_CVPSC_SYS,Delivery - CVP Allocation (NOD SC),
PERDV_CVPAG_S,Delivery - CVP Allocation (SOD Ag),
PERDV_CVPEX_S,Delivery - CVP Allocation (SOD EX),
PERDV_CVPMI_S,Delivery - CVP Allocation (SOD M&I),
PERDV_CVPRF_S,Delivery - CVP Allocation (SOD RF),
DEL_CVP_P_AMER,Delivery - CVP Delivery American,
DEL_CVP_TOTAL_N,Delivery - CVP Delivery NOD,
DEL_CVP_PAG_N,Delivery - CVP Delivery PAG N,
DEL_CVP_PAG_S,Delivery - CVP Delivery PAG S,
DEL_CVP_PEX_S,Delivery - CVP Delivery PEX S,
DEL_CVP_PMI_N,Delivery - CVP Delivery PMI N,
DEL_CVP_PMI_W_AMER,Delivery - CVP Delivery PMI N with Amer,
DEL_CVP_PMI_S,Delivery - CVP Delivery PMI S,
DEL_CVP_PRF_N,Delivery - CVP Delivery PRF N,
DEL_CVP_PRF_S,Delivery - CVP Delivery PRF S,
DEL_CVP_PSC_N,Delivery - CVP Delivery PSC N,
cvptotaldel,Delivery - CVP Delivery SOD,
DEL_CVP_TOTAL_S,Delivery - CVP Delivery SOD no CVC,
SHORT_CVP_TOT_N,Delivery - SHORT_CVP_TOT_N,
SHORT_CVP_TOT_S,Delivery - SHORT_CVP_TOT_S,
co_available_dv,Delivery - SWP CO available,
co_est_dv,Delivery - SWP CO est,
co_final_dv,Delivery - SWP CO final,
deltar_a_dv,Delivery - SWP Del Target TA,
deltardv_total,Delivery - SWP Del Target TA + CO,
swp_perdeldv,Delivery - SWP PERCENT DELIVERY,
vardeltardv,Delivery - SWP Var Demand Deltar,
SWP_CO_FEATH,Delivery - SWP_CO_FEATH,
SWP_CO_NBAY,Delivery - SWP_CO_NBAY,
swp_CO_total,Delivery - SWP_CO_TOTAL,
SWP_IN_FEATH,Delivery - SWP_IN_FEATH,
SWP_IN_NBAY,Delivery - SWP_IN_NBAY,
swp_IN_total,Delivery - SWP_IN_TOTAL,
SWP_LOSS,Delivery - SWP_LOSS,
SWP_TA_FEATH,Delivery - SWP_TA_FEATH,
SWP_TA_NBAY,Delivery - SWP_TA_NBAY,
swp_TA_total,Delivery - SWP_TA_TOTAL,
unused_totaldv,Delivery - SWP_UNUSED_TA_TOTAL,
C_CAA003_CVP,Delta - Banks CVP Exports,
C_CAA003_CVC,Delta - Banks Export Cross Valley Pumping,
D_OMR027_CAA000,Delta - Banks Exports,
C_CAA003_SWP,Delta - Banks SWP Exports,
D408,Delta - CCWD,
DELTAINFLOWFORNDOI,Delta - Delta Inflow (NDOI),
NDOI,Delta - Delta Outflow (NDOI),
D_SAC030_MOK014,Delta - DXC Flow,
NDOI_ADD,Delta - Excess Outflow (NDOI),
NDOI_ADD_ANN,Delta - Excess Outflow ANN (NDOI),
NDOI_ADD_CVP,Delta - Excess Outflow CVP (NDOI),
NDOI_ADD_SWP,Delta - Excess Outflow SWP (NDOI),
C_SAC029B,Delta - Flow at Georgiana Slough,
C_SAC017,Delta - Flow at Rio Vista,
C_SAC030,Delta - Flow below DXC,
D_OMR028_DMC000,Delta - Jones Exports,
MRDO_FINALDV,Delta - Modeled Required DO,
C_CSL004B,Delta - North Bay Aqueduct,
C_OMR014,Delta - Old and Middle River flow,
QWestFlow,Delta - QWestFlow,
NDOI_MIN,Delta - Required Delta Outflow,
C_SAC048,Delta - Sac Flow at Freeport,
EXPORTACTUALIF,Delta - Total NDD Exports,
EXPORTACTUALTD,Delta - Total TD Exports,
C_CAA003_CVC,Other - Banks Export Cross Valley Pumping,
C_CAA003_CVPDED,Other - Banks Export CVP Dedicated,
C_CAA003_EXP2,Other - Banks Export Fed Share,
C_CAA003_CVPWHL,Other - Banks Export JPOD,
C_CAA003_EXP1,Other - Banks Export State Share,
C_CAA003_WTS,Other - Banks Export WTS,
C_CAA003_IF,Other - Banks PP North Delta,
C_CAA003_SWP_TD,Other - Banks PP SWP Through Delta,
C_CAA003_TD,Other - Banks PP Through Delta,
DXC,Other - DCC gate days open,
DI_CVP_sysdv,Other - DI CVP,
C_DMC116,Other - DMC inflow to MendotaPool,
EXPRATIO_,Other - EI RATIO,
D_SAC207_GCC007,Other - Hamilton City (diversion),
C_DMC000_EXP1,Other - Jones Export Fed Share,
C_DMC000_EXP2,Other - Jones Export State Share,
C_DMC000_WTS,Other - Jones Export WTS,
C_DMC000_IF,Other - Jones PP North Delta,
C_DMC000_TD,Other - Jones PP Through Delta,
net_DICU,Other - net DICU,
D_SAC240_TCC001,Other - Red Bluff Diversion Dam (diversion),
maxexp_rpa_SWPdv,Other - RPA Constraint Banks,
maxexp_rpa_CVPdv,Other - RPA Constraint Jones,
SHORT_SWP_TOTA,Other - SHORT_SWP_TOTAL,
PERDV_SWP_FSC,Other - SWP Allocation (FRSA),
PERDV_SWP_MWD1,Other - SWP Allocation (M&I),
DEL_SWP_PIN,Other - SWP Delivery Int,
D_LWSTN_CCT011,Other - Trinity Export,
D_LWSTN_ADD,Other - Trinity Export Excess,
TRIN_IMPDV,Other - Trinity Export Ops limit,
D_LWSTN_IMPORT,Other - Trinity Export Ops x,
WSI_CVP_sysdv,Other - WSI CVP,
BD_EC_MONTH,Salinity - BD EC,
CI_EC_MONTH,Salinity - CI EC,
CO_EC_MONTH,Salinity - CO EC,
EM_EC_MONTH,Salinity - EM EC,
JP_EC_MONTH,Salinity - JP EC,
LV_EC_MONTH,Salinity - LV EC,
MR_EC_MONTH,Salinity - MR EC,
RS_EC_MONTH,Salinity - RS EC,
VI_EC_MONTH,Salinity - VI EC,
X2_PRV,Salinity - X2 Position prev,
S_FOLSM,Storage - Folsom Storage,
S_MLRTN,Storage - Friant Storage,
S_MCLRE,Storage - McClure Storage,
S_PEDRO,Storage - New Don Pedro Storage,
S_MELON,Storage - New Melones Storage,
S_OROVL,Storage - Oroville Storage,
S_SLUIS_CVP,Storage - San Luis Storage - CVP,
S_SLUIS_SWP,Storage - San Luis Storage - SWP,
S_SHSTA,Storage - Shasta Storage,
CVPRuleCv,Storage - SL CVP Rule curve,
SWPRuleCv,Storage - SL SWP Rule curve,
S_TRNTY,Storage - Trinity Storage,
S_WKYTN,Storage - Whiskeytown,
C_FTR059,Upstream Flows - Feather below Thermolito,
C_FTR003,Upstream Flows - FeatherFlowAbvFremontWeir,
C_FTR068,Upstream Flows - FeatherLowFlow,
C_FTR003,Upstream Flows - FeatherMouth,
C_FTR031,Upstream Flows - FeatherYubaConfluence,
SP_SAC083_YBP037,Upstream Flows - Fremont Weir spills,
C_AMR004,Upstream Flows - H-Street,
C_MCD021,Upstream Flows - MercedMouth,
C_MOK022,Upstream Flows - Mokelumne Flow,
C_NTOMA,Upstream Flows - Release-American Nimbus,
C_CLR011,Upstream Flows - Release-ClearCreek,
C_MLRTN,Upstream Flows - Release-Friant,
C_PEDRO,Upstream Flows - Release-McClure,
C_MDOTA,Upstream Flows - Release-MendotaPool,
C_MCLRE,Upstream Flows - Release-NewDonPedro,
C_MELON,Upstream Flows - Release-NewMelones,
C_OROVL,Upstream Flows - Release-Oroville,
C_KSWCK,Upstream Flows - Release-Sacramento Keswick,
C_STS059,Upstream Flows - Release-Stanislaus (Goodwin),
C_LWSTN,Upstream Flows - Release-Trinity,
C_SAC085,Upstream Flows - SacFlowAbvFremontWeir,
C_SAC041,Upstream Flows - SacFlowHood,
C_SAC240,Upstream Flows - SacFlowRedBluff,
C_SAC083,Upstream Flows - SacFlowVerona,
C_SAC097,Upstream Flows - SacFlowWilkinsSlough,
SP_SAC066_YBP020,Upstream Flows - Sacramento Weir spills,
C_SJR013,Upstream Flows - SJR QWEST flows,
C_SJR119,Upstream Flows - SJRUpstreamMerc,
C_SJR075,Upstream Flows - SJRUpstreamStan,
D_WKYTN_SPT003,Upstream Flows - Spring Creek Tunnel,
C_STS030,Upstream Flows - StanislausMouth,
C_TUO003,Upstream Flows - TuolumneMouth,
C_SJR070,Upstream Flows - Vernalis Flow,
CT_VERONA,Upstream Flows - Verona Closure Term,
C_YBP020,Upstream Flows - Yolo Bypass,
C_YUB002,Upstream Flows - YubaFeatherConfluence,
WYT_SAC_,WYT_SAC_,
C_CAA003,C_CAA003,
C_CAA005,C_CAA005,
C_CAA006,C_CAA006,
C_CAA009,C_CAA009,
C_CAA012,C_CAA012,
C_CAA024,C_CAA024,
C_CAA046,C_CAA046,
C_CAA051,C_CAA051,
C_CAA066,C_CAA066,
C_CAA067,C_CAA067,
C_CAA069,C_CAA069,
C_CAA071,C_CAA071,
C_CAA087,Dos Amigos Pumping Plant,
C_CAA095,C_CAA095,
C_CAA109,C_CAA109,
C_CAA143,C_CAA143,
C_CAA155,C_CAA155,
C_CAA156,C_CAA156,
C_CAA165,C_CAA165,
C_CAA172,C_CAA172,
C_CAA173,C_CAA173,
C_CAA181,C_CAA181,d
C_CAA183,C_CAA183,d
C_CAA184,C_CAA184,d
C_CAA185,C_CAA185,d
C_CAA194,C_CAA194,d
C_CAA207,C_CAA207,d
C_CAA210,C_CAA210,d
C_CAA220,C_CAA220,d
C_CAA238,C_CAA238,d
C_CAA239,C_CAA239,d
C_CAA240,C_CAA240,d
C_CAA241,C_CAA241,d
C_CAA242,C_CAA242,d
C_CAA245,Buena Vista Pumping Plant,d
C_CAA262,C_CAA262,d
C_CAA278,Wheeler Ridge Pumping Plant,d
C_CAA279,C_CAA279,
C_CAA280,Chrisman Pumping Plant,
C_CAA293,.D. Edmondston Pumping Plant,
C_CAA305,C_CAA305,
C_ESB306,SWP Alamo Powerplant               ,
C_ESB324,SWP Reach 19-22A  Avek Wa          ,
C_ESB347,SWP Reach 20A-20B  Palmdale WD     ,
C_ESB355,SWP Reach 21  Littlerock Cr Id     ,
C_ESB361,Pearblossom PP & Reach 17-21 Losses,
C_ESB403,SWP Reach 22B-23  Mojave Wa        ,
C_ESB406,Mojave PWP & Reach 22A-23 Losses   ,
C_ESB407,SWP Reach 26A Coachella Valley WD  ,
C_ESB408,SWP Reach 26A  Desert Wa           ,
C_ESB413,SWP Reach 26  MWD                  ,
C_ESB414,SWP Reach 26A  San Bernardino      ,
C_ESB415,SWP Reach 26  San Gabriel Valley   ,
C_ESB420,SWP Reach 26 San Gorgonio Pass Wa  ,
C_ESB425,SWP Reach 24-28  Rec + Losses      ,
C_WSB001,SWP OSO Power Plant                ,
C_WSB006,SWP Reach 29A-29F Losses           ,
C_WSB014,SWP Warne PWP & Reach 29A-F Losses ,
C_WSB026, Castaic PWP & Reach 29H-29J Losses,
C_WSB027, SWP Reach 30  Rec + Losses        ,
C_WSB031, SWP Reach 30  MWD                 ,
C_ESB433,SWP Reach 28G-28H  MWD              ,
