idate,icy,icm,iwy,iwm,cfs_taf
10/31/1921 23:59:59,1921,10,1922,1,0.061487603
11/30/1921 23:59:59,1921,11,1922,2,0.059504132
12/31/1921 23:59:59,1921,12,1922,3,0.061487603
1/31/1922 23:59:59,1922,1,1922,4,0.061487603
2/28/1922 23:59:59,1922,2,1922,5,0.05553719
3/31/1922 23:59:59,1922,3,1922,6,0.061487603
4/30/1922 23:59:59,1922,4,1922,7,0.059504132
5/31/1922 23:59:59,1922,5,1922,8,0.061487603
6/30/1922 23:59:59,1922,6,1922,9,0.059504132
7/31/1922 23:59:59,1922,7,1922,10,0.061487603
8/31/1922 23:59:59,1922,8,1922,11,0.061487603
9/30/1922 23:59:59,1922,9,1922,12,0.059504132
10/31/1922 23:59:59,1922,10,1923,1,0.061487603
11/30/1922 23:59:59,1922,11,1923,2,0.059504132
12/31/1922 23:59:59,1922,12,1923,3,0.061487603
1/31/1923 23:59:59,1923,1,1923,4,0.061487603
2/28/1923 23:59:59,1923,2,1923,5,0.05553719
3/31/1923 23:59:59,1923,3,1923,6,0.061487603
4/30/1923 23:59:59,1923,4,1923,7,0.059504132
5/31/1923 23:59:59,1923,5,1923,8,0.061487603
6/30/1923 23:59:59,1923,6,1923,9,0.059504132
7/31/1923 23:59:59,1923,7,1923,10,0.061487603
8/31/1923 23:59:59,1923,8,1923,11,0.061487603
9/30/1923 23:59:59,1923,9,1923,12,0.059504132
10/31/1923 23:59:59,1923,10,1924,1,0.061487603
11/30/1923 23:59:59,1923,11,1924,2,0.059504132
12/31/1923 23:59:59,1923,12,1924,3,0.061487603
1/31/1924 23:59:59,1924,1,1924,4,0.061487603
2/29/1924 23:59:59,1924,2,1924,5,0.057520661
3/31/1924 23:59:59,1924,3,1924,6,0.061487603
4/30/1924 23:59:59,1924,4,1924,7,0.059504132
5/31/1924 23:59:59,1924,5,1924,8,0.061487603
6/30/1924 23:59:59,1924,6,1924,9,0.059504132
7/31/1924 23:59:59,1924,7,1924,10,0.061487603
8/31/1924 23:59:59,1924,8,1924,11,0.061487603
9/30/1924 23:59:59,1924,9,1924,12,0.059504132
10/31/1924 23:59:59,1924,10,1925,1,0.061487603
11/30/1924 23:59:59,1924,11,1925,2,0.059504132
12/31/1924 23:59:59,1924,12,1925,3,0.061487603
1/31/1925 23:59:59,1925,1,1925,4,0.061487603
2/28/1925 23:59:59,1925,2,1925,5,0.05553719
3/31/1925 23:59:59,1925,3,1925,6,0.061487603
4/30/1925 23:59:59,1925,4,1925,7,0.059504132
5/31/1925 23:59:59,1925,5,1925,8,0.061487603
6/30/1925 23:59:59,1925,6,1925,9,0.059504132
7/31/1925 23:59:59,1925,7,1925,10,0.061487603
8/31/1925 23:59:59,1925,8,1925,11,0.061487603
9/30/1925 23:59:59,1925,9,1925,12,0.059504132
10/31/1925 23:59:59,1925,10,1926,1,0.061487603
11/30/1925 23:59:59,1925,11,1926,2,0.059504132
12/31/1925 23:59:59,1925,12,1926,3,0.061487603
1/31/1926 23:59:59,1926,1,1926,4,0.061487603
2/28/1926 23:59:59,1926,2,1926,5,0.05553719
3/31/1926 23:59:59,1926,3,1926,6,0.061487603
4/30/1926 23:59:59,1926,4,1926,7,0.059504132
5/31/1926 23:59:59,1926,5,1926,8,0.061487603
6/30/1926 23:59:59,1926,6,1926,9,0.059504132
7/31/1926 23:59:59,1926,7,1926,10,0.061487603
8/31/1926 23:59:59,1926,8,1926,11,0.061487603
9/30/1926 23:59:59,1926,9,1926,12,0.059504132
10/31/1926 23:59:59,1926,10,1927,1,0.061487603
11/30/1926 23:59:59,1926,11,1927,2,0.059504132
12/31/1926 23:59:59,1926,12,1927,3,0.061487603
1/31/1927 23:59:59,1927,1,1927,4,0.061487603
2/28/1927 23:59:59,1927,2,1927,5,0.05553719
3/31/1927 23:59:59,1927,3,1927,6,0.061487603
4/30/1927 23:59:59,1927,4,1927,7,0.059504132
5/31/1927 23:59:59,1927,5,1927,8,0.061487603
6/30/1927 23:59:59,1927,6,1927,9,0.059504132
7/31/1927 23:59:59,1927,7,1927,10,0.061487603
8/31/1927 23:59:59,1927,8,1927,11,0.061487603
9/30/1927 23:59:59,1927,9,1927,12,0.059504132
10/31/1927 23:59:59,1927,10,1928,1,0.061487603
11/30/1927 23:59:59,1927,11,1928,2,0.059504132
12/31/1927 23:59:59,1927,12,1928,3,0.061487603
1/31/1928 23:59:59,1928,1,1928,4,0.061487603
2/29/1928 23:59:59,1928,2,1928,5,0.057520661
3/31/1928 23:59:59,1928,3,1928,6,0.061487603
4/30/1928 23:59:59,1928,4,1928,7,0.059504132
5/31/1928 23:59:59,1928,5,1928,8,0.061487603
6/30/1928 23:59:59,1928,6,1928,9,0.059504132
7/31/1928 23:59:59,1928,7,1928,10,0.061487603
8/31/1928 23:59:59,1928,8,1928,11,0.061487603
9/30/1928 23:59:59,1928,9,1928,12,0.059504132
10/31/1928 23:59:59,1928,10,1929,1,0.061487603
11/30/1928 23:59:59,1928,11,1929,2,0.059504132
12/31/1928 23:59:59,1928,12,1929,3,0.061487603
1/31/1929 23:59:59,1929,1,1929,4,0.061487603
2/28/1929 23:59:59,1929,2,1929,5,0.05553719
3/31/1929 23:59:59,1929,3,1929,6,0.061487603
4/30/1929 23:59:59,1929,4,1929,7,0.059504132
5/31/1929 23:59:59,1929,5,1929,8,0.061487603
6/30/1929 23:59:59,1929,6,1929,9,0.059504132
7/31/1929 23:59:59,1929,7,1929,10,0.061487603
8/31/1929 23:59:59,1929,8,1929,11,0.061487603
9/30/1929 23:59:59,1929,9,1929,12,0.059504132
10/31/1929 23:59:59,1929,10,1930,1,0.061487603
11/30/1929 23:59:59,1929,11,1930,2,0.059504132
12/31/1929 23:59:59,1929,12,1930,3,0.061487603
1/31/1930 23:59:59,1930,1,1930,4,0.061487603
2/28/1930 23:59:59,1930,2,1930,5,0.05553719
3/31/1930 23:59:59,1930,3,1930,6,0.061487603
4/30/1930 23:59:59,1930,4,1930,7,0.059504132
5/31/1930 23:59:59,1930,5,1930,8,0.061487603
6/30/1930 23:59:59,1930,6,1930,9,0.059504132
7/31/1930 23:59:59,1930,7,1930,10,0.061487603
8/31/1930 23:59:59,1930,8,1930,11,0.061487603
9/30/1930 23:59:59,1930,9,1930,12,0.059504132
10/31/1930 23:59:59,1930,10,1931,1,0.061487603
11/30/1930 23:59:59,1930,11,1931,2,0.059504132
12/31/1930 23:59:59,1930,12,1931,3,0.061487603
1/31/1931 23:59:59,1931,1,1931,4,0.061487603
2/28/1931 23:59:59,1931,2,1931,5,0.05553719
3/31/1931 23:59:59,1931,3,1931,6,0.061487603
4/30/1931 23:59:59,1931,4,1931,7,0.059504132
5/31/1931 23:59:59,1931,5,1931,8,0.061487603
6/30/1931 23:59:59,1931,6,1931,9,0.059504132
7/31/1931 23:59:59,1931,7,1931,10,0.061487603
8/31/1931 23:59:59,1931,8,1931,11,0.061487603
9/30/1931 23:59:59,1931,9,1931,12,0.059504132
10/31/1931 23:59:59,1931,10,1932,1,0.061487603
11/30/1931 23:59:59,1931,11,1932,2,0.059504132
12/31/1931 23:59:59,1931,12,1932,3,0.061487603
1/31/1932 23:59:59,1932,1,1932,4,0.061487603
2/29/1932 23:59:59,1932,2,1932,5,0.057520661
3/31/1932 23:59:59,1932,3,1932,6,0.061487603
4/30/1932 23:59:59,1932,4,1932,7,0.059504132
5/31/1932 23:59:59,1932,5,1932,8,0.061487603
6/30/1932 23:59:59,1932,6,1932,9,0.059504132
7/31/1932 23:59:59,1932,7,1932,10,0.061487603
8/31/1932 23:59:59,1932,8,1932,11,0.061487603
9/30/1932 23:59:59,1932,9,1932,12,0.059504132
10/31/1932 23:59:59,1932,10,1933,1,0.061487603
11/30/1932 23:59:59,1932,11,1933,2,0.059504132
12/31/1932 23:59:59,1932,12,1933,3,0.061487603
1/31/1933 23:59:59,1933,1,1933,4,0.061487603
2/28/1933 23:59:59,1933,2,1933,5,0.05553719
3/31/1933 23:59:59,1933,3,1933,6,0.061487603
4/30/1933 23:59:59,1933,4,1933,7,0.059504132
5/31/1933 23:59:59,1933,5,1933,8,0.061487603
6/30/1933 23:59:59,1933,6,1933,9,0.059504132
7/31/1933 23:59:59,1933,7,1933,10,0.061487603
8/31/1933 23:59:59,1933,8,1933,11,0.061487603
9/30/1933 23:59:59,1933,9,1933,12,0.059504132
10/31/1933 23:59:59,1933,10,1934,1,0.061487603
11/30/1933 23:59:59,1933,11,1934,2,0.059504132
12/31/1933 23:59:59,1933,12,1934,3,0.061487603
1/31/1934 23:59:59,1934,1,1934,4,0.061487603
2/28/1934 23:59:59,1934,2,1934,5,0.05553719
3/31/1934 23:59:59,1934,3,1934,6,0.061487603
4/30/1934 23:59:59,1934,4,1934,7,0.059504132
5/31/1934 23:59:59,1934,5,1934,8,0.061487603
6/30/1934 23:59:59,1934,6,1934,9,0.059504132
7/31/1934 23:59:59,1934,7,1934,10,0.061487603
8/31/1934 23:59:59,1934,8,1934,11,0.061487603
9/30/1934 23:59:59,1934,9,1934,12,0.059504132
10/31/1934 23:59:59,1934,10,1935,1,0.061487603
11/30/1934 23:59:59,1934,11,1935,2,0.059504132
12/31/1934 23:59:59,1934,12,1935,3,0.061487603
1/31/1935 23:59:59,1935,1,1935,4,0.061487603
2/28/1935 23:59:59,1935,2,1935,5,0.05553719
3/31/1935 23:59:59,1935,3,1935,6,0.061487603
4/30/1935 23:59:59,1935,4,1935,7,0.059504132
5/31/1935 23:59:59,1935,5,1935,8,0.061487603
6/30/1935 23:59:59,1935,6,1935,9,0.059504132
7/31/1935 23:59:59,1935,7,1935,10,0.061487603
8/31/1935 23:59:59,1935,8,1935,11,0.061487603
9/30/1935 23:59:59,1935,9,1935,12,0.059504132
10/31/1935 23:59:59,1935,10,1936,1,0.061487603
11/30/1935 23:59:59,1935,11,1936,2,0.059504132
12/31/1935 23:59:59,1935,12,1936,3,0.061487603
1/31/1936 23:59:59,1936,1,1936,4,0.061487603
2/29/1936 23:59:59,1936,2,1936,5,0.057520661
3/31/1936 23:59:59,1936,3,1936,6,0.061487603
4/30/1936 23:59:59,1936,4,1936,7,0.059504132
5/31/1936 23:59:59,1936,5,1936,8,0.061487603
6/30/1936 23:59:59,1936,6,1936,9,0.059504132
7/31/1936 23:59:59,1936,7,1936,10,0.061487603
8/31/1936 23:59:59,1936,8,1936,11,0.061487603
9/30/1936 23:59:59,1936,9,1936,12,0.059504132
10/31/1936 23:59:59,1936,10,1937,1,0.061487603
11/30/1936 23:59:59,1936,11,1937,2,0.059504132
12/31/1936 23:59:59,1936,12,1937,3,0.061487603
1/31/1937 23:59:59,1937,1,1937,4,0.061487603
2/28/1937 23:59:59,1937,2,1937,5,0.05553719
3/31/1937 23:59:59,1937,3,1937,6,0.061487603
4/30/1937 23:59:59,1937,4,1937,7,0.059504132
5/31/1937 23:59:59,1937,5,1937,8,0.061487603
6/30/1937 23:59:59,1937,6,1937,9,0.059504132
7/31/1937 23:59:59,1937,7,1937,10,0.061487603
8/31/1937 23:59:59,1937,8,1937,11,0.061487603
9/30/1937 23:59:59,1937,9,1937,12,0.059504132
10/31/1937 23:59:59,1937,10,1938,1,0.061487603
11/30/1937 23:59:59,1937,11,1938,2,0.059504132
12/31/1937 23:59:59,1937,12,1938,3,0.061487603
1/31/1938 23:59:59,1938,1,1938,4,0.061487603
2/28/1938 23:59:59,1938,2,1938,5,0.05553719
3/31/1938 23:59:59,1938,3,1938,6,0.061487603
4/30/1938 23:59:59,1938,4,1938,7,0.059504132
5/31/1938 23:59:59,1938,5,1938,8,0.061487603
6/30/1938 23:59:59,1938,6,1938,9,0.059504132
7/31/1938 23:59:59,1938,7,1938,10,0.061487603
8/31/1938 23:59:59,1938,8,1938,11,0.061487603
9/30/1938 23:59:59,1938,9,1938,12,0.059504132
10/31/1938 23:59:59,1938,10,1939,1,0.061487603
11/30/1938 23:59:59,1938,11,1939,2,0.059504132
12/31/1938 23:59:59,1938,12,1939,3,0.061487603
1/31/1939 23:59:59,1939,1,1939,4,0.061487603
2/28/1939 23:59:59,1939,2,1939,5,0.05553719
3/31/1939 23:59:59,1939,3,1939,6,0.061487603
4/30/1939 23:59:59,1939,4,1939,7,0.059504132
5/31/1939 23:59:59,1939,5,1939,8,0.061487603
6/30/1939 23:59:59,1939,6,1939,9,0.059504132
7/31/1939 23:59:59,1939,7,1939,10,0.061487603
8/31/1939 23:59:59,1939,8,1939,11,0.061487603
9/30/1939 23:59:59,1939,9,1939,12,0.059504132
10/31/1939 23:59:59,1939,10,1940,1,0.061487603
11/30/1939 23:59:59,1939,11,1940,2,0.059504132
12/31/1939 23:59:59,1939,12,1940,3,0.061487603
1/31/1940 23:59:59,1940,1,1940,4,0.061487603
2/29/1940 23:59:59,1940,2,1940,5,0.057520661
3/31/1940 23:59:59,1940,3,1940,6,0.061487603
4/30/1940 23:59:59,1940,4,1940,7,0.059504132
5/31/1940 23:59:59,1940,5,1940,8,0.061487603
6/30/1940 23:59:59,1940,6,1940,9,0.059504132
7/31/1940 23:59:59,1940,7,1940,10,0.061487603
8/31/1940 23:59:59,1940,8,1940,11,0.061487603
9/30/1940 23:59:59,1940,9,1940,12,0.059504132
10/31/1940 23:59:59,1940,10,1941,1,0.061487603
11/30/1940 23:59:59,1940,11,1941,2,0.059504132
12/31/1940 23:59:59,1940,12,1941,3,0.061487603
1/31/1941 23:59:59,1941,1,1941,4,0.061487603
2/28/1941 23:59:59,1941,2,1941,5,0.05553719
3/31/1941 23:59:59,1941,3,1941,6,0.061487603
4/30/1941 23:59:59,1941,4,1941,7,0.059504132
5/31/1941 23:59:59,1941,5,1941,8,0.061487603
6/30/1941 23:59:59,1941,6,1941,9,0.059504132
7/31/1941 23:59:59,1941,7,1941,10,0.061487603
8/31/1941 23:59:59,1941,8,1941,11,0.061487603
9/30/1941 23:59:59,1941,9,1941,12,0.059504132
10/31/1941 23:59:59,1941,10,1942,1,0.061487603
11/30/1941 23:59:59,1941,11,1942,2,0.059504132
12/31/1941 23:59:59,1941,12,1942,3,0.061487603
1/31/1942 23:59:59,1942,1,1942,4,0.061487603
2/28/1942 23:59:59,1942,2,1942,5,0.05553719
3/31/1942 23:59:59,1942,3,1942,6,0.061487603
4/30/1942 23:59:59,1942,4,1942,7,0.059504132
5/31/1942 23:59:59,1942,5,1942,8,0.061487603
6/30/1942 23:59:59,1942,6,1942,9,0.059504132
7/31/1942 23:59:59,1942,7,1942,10,0.061487603
8/31/1942 23:59:59,1942,8,1942,11,0.061487603
9/30/1942 23:59:59,1942,9,1942,12,0.059504132
10/31/1942 23:59:59,1942,10,1943,1,0.061487603
11/30/1942 23:59:59,1942,11,1943,2,0.059504132
12/31/1942 23:59:59,1942,12,1943,3,0.061487603
1/31/1943 23:59:59,1943,1,1943,4,0.061487603
2/28/1943 23:59:59,1943,2,1943,5,0.05553719
3/31/1943 23:59:59,1943,3,1943,6,0.061487603
4/30/1943 23:59:59,1943,4,1943,7,0.059504132
5/31/1943 23:59:59,1943,5,1943,8,0.061487603
6/30/1943 23:59:59,1943,6,1943,9,0.059504132
7/31/1943 23:59:59,1943,7,1943,10,0.061487603
8/31/1943 23:59:59,1943,8,1943,11,0.061487603
9/30/1943 23:59:59,1943,9,1943,12,0.059504132
10/31/1943 23:59:59,1943,10,1944,1,0.061487603
11/30/1943 23:59:59,1943,11,1944,2,0.059504132
12/31/1943 23:59:59,1943,12,1944,3,0.061487603
1/31/1944 23:59:59,1944,1,1944,4,0.061487603
2/29/1944 23:59:59,1944,2,1944,5,0.057520661
3/31/1944 23:59:59,1944,3,1944,6,0.061487603
4/30/1944 23:59:59,1944,4,1944,7,0.059504132
5/31/1944 23:59:59,1944,5,1944,8,0.061487603
6/30/1944 23:59:59,1944,6,1944,9,0.059504132
7/31/1944 23:59:59,1944,7,1944,10,0.061487603
8/31/1944 23:59:59,1944,8,1944,11,0.061487603
9/30/1944 23:59:59,1944,9,1944,12,0.059504132
10/31/1944 23:59:59,1944,10,1945,1,0.061487603
11/30/1944 23:59:59,1944,11,1945,2,0.059504132
12/31/1944 23:59:59,1944,12,1945,3,0.061487603
1/31/1945 23:59:59,1945,1,1945,4,0.061487603
2/28/1945 23:59:59,1945,2,1945,5,0.05553719
3/31/1945 23:59:59,1945,3,1945,6,0.061487603
4/30/1945 23:59:59,1945,4,1945,7,0.059504132
5/31/1945 23:59:59,1945,5,1945,8,0.061487603
6/30/1945 23:59:59,1945,6,1945,9,0.059504132
7/31/1945 23:59:59,1945,7,1945,10,0.061487603
8/31/1945 23:59:59,1945,8,1945,11,0.061487603
9/30/1945 23:59:59,1945,9,1945,12,0.059504132
10/31/1945 23:59:59,1945,10,1946,1,0.061487603
11/30/1945 23:59:59,1945,11,1946,2,0.059504132
12/31/1945 23:59:59,1945,12,1946,3,0.061487603
1/31/1946 23:59:59,1946,1,1946,4,0.061487603
2/28/1946 23:59:59,1946,2,1946,5,0.05553719
3/31/1946 23:59:59,1946,3,1946,6,0.061487603
4/30/1946 23:59:59,1946,4,1946,7,0.059504132
5/31/1946 23:59:59,1946,5,1946,8,0.061487603
6/30/1946 23:59:59,1946,6,1946,9,0.059504132
7/31/1946 23:59:59,1946,7,1946,10,0.061487603
8/31/1946 23:59:59,1946,8,1946,11,0.061487603
9/30/1946 23:59:59,1946,9,1946,12,0.059504132
10/31/1946 23:59:59,1946,10,1947,1,0.061487603
11/30/1946 23:59:59,1946,11,1947,2,0.059504132
12/31/1946 23:59:59,1946,12,1947,3,0.061487603
1/31/1947 23:59:59,1947,1,1947,4,0.061487603
2/28/1947 23:59:59,1947,2,1947,5,0.05553719
3/31/1947 23:59:59,1947,3,1947,6,0.061487603
4/30/1947 23:59:59,1947,4,1947,7,0.059504132
5/31/1947 23:59:59,1947,5,1947,8,0.061487603
6/30/1947 23:59:59,1947,6,1947,9,0.059504132
7/31/1947 23:59:59,1947,7,1947,10,0.061487603
8/31/1947 23:59:59,1947,8,1947,11,0.061487603
9/30/1947 23:59:59,1947,9,1947,12,0.059504132
10/31/1947 23:59:59,1947,10,1948,1,0.061487603
11/30/1947 23:59:59,1947,11,1948,2,0.059504132
12/31/1947 23:59:59,1947,12,1948,3,0.061487603
1/31/1948 23:59:59,1948,1,1948,4,0.061487603
2/29/1948 23:59:59,1948,2,1948,5,0.057520661
3/31/1948 23:59:59,1948,3,1948,6,0.061487603
4/30/1948 23:59:59,1948,4,1948,7,0.059504132
5/31/1948 23:59:59,1948,5,1948,8,0.061487603
6/30/1948 23:59:59,1948,6,1948,9,0.059504132
7/31/1948 23:59:59,1948,7,1948,10,0.061487603
8/31/1948 23:59:59,1948,8,1948,11,0.061487603
9/30/1948 23:59:59,1948,9,1948,12,0.059504132
10/31/1948 23:59:59,1948,10,1949,1,0.061487603
11/30/1948 23:59:59,1948,11,1949,2,0.059504132
12/31/1948 23:59:59,1948,12,1949,3,0.061487603
1/31/1949 23:59:59,1949,1,1949,4,0.061487603
2/28/1949 23:59:59,1949,2,1949,5,0.05553719
3/31/1949 23:59:59,1949,3,1949,6,0.061487603
4/30/1949 23:59:59,1949,4,1949,7,0.059504132
5/31/1949 23:59:59,1949,5,1949,8,0.061487603
6/30/1949 23:59:59,1949,6,1949,9,0.059504132
7/31/1949 23:59:59,1949,7,1949,10,0.061487603
8/31/1949 23:59:59,1949,8,1949,11,0.061487603
9/30/1949 23:59:59,1949,9,1949,12,0.059504132
10/31/1949 23:59:59,1949,10,1950,1,0.061487603
11/30/1949 23:59:59,1949,11,1950,2,0.059504132
12/31/1949 23:59:59,1949,12,1950,3,0.061487603
1/31/1950 23:59:59,1950,1,1950,4,0.061487603
2/28/1950 23:59:59,1950,2,1950,5,0.05553719
3/31/1950 23:59:59,1950,3,1950,6,0.061487603
4/30/1950 23:59:59,1950,4,1950,7,0.059504132
5/31/1950 23:59:59,1950,5,1950,8,0.061487603
6/30/1950 23:59:59,1950,6,1950,9,0.059504132
7/31/1950 23:59:59,1950,7,1950,10,0.061487603
8/31/1950 23:59:59,1950,8,1950,11,0.061487603
9/30/1950 23:59:59,1950,9,1950,12,0.059504132
10/31/1950 23:59:59,1950,10,1951,1,0.061487603
11/30/1950 23:59:59,1950,11,1951,2,0.059504132
12/31/1950 23:59:59,1950,12,1951,3,0.061487603
1/31/1951 23:59:59,1951,1,1951,4,0.061487603
2/28/1951 23:59:59,1951,2,1951,5,0.05553719
3/31/1951 23:59:59,1951,3,1951,6,0.061487603
4/30/1951 23:59:59,1951,4,1951,7,0.059504132
5/31/1951 23:59:59,1951,5,1951,8,0.061487603
6/30/1951 23:59:59,1951,6,1951,9,0.059504132
7/31/1951 23:59:59,1951,7,1951,10,0.061487603
8/31/1951 23:59:59,1951,8,1951,11,0.061487603
9/30/1951 23:59:59,1951,9,1951,12,0.059504132
10/31/1951 23:59:59,1951,10,1952,1,0.061487603
11/30/1951 23:59:59,1951,11,1952,2,0.059504132
12/31/1951 23:59:59,1951,12,1952,3,0.061487603
1/31/1952 23:59:59,1952,1,1952,4,0.061487603
2/29/1952 23:59:59,1952,2,1952,5,0.057520661
3/31/1952 23:59:59,1952,3,1952,6,0.061487603
4/30/1952 23:59:59,1952,4,1952,7,0.059504132
5/31/1952 23:59:59,1952,5,1952,8,0.061487603
6/30/1952 23:59:59,1952,6,1952,9,0.059504132
7/31/1952 23:59:59,1952,7,1952,10,0.061487603
8/31/1952 23:59:59,1952,8,1952,11,0.061487603
9/30/1952 23:59:59,1952,9,1952,12,0.059504132
10/31/1952 23:59:59,1952,10,1953,1,0.061487603
11/30/1952 23:59:59,1952,11,1953,2,0.059504132
12/31/1952 23:59:59,1952,12,1953,3,0.061487603
1/31/1953 23:59:59,1953,1,1953,4,0.061487603
2/28/1953 23:59:59,1953,2,1953,5,0.05553719
3/31/1953 23:59:59,1953,3,1953,6,0.061487603
4/30/1953 23:59:59,1953,4,1953,7,0.059504132
5/31/1953 23:59:59,1953,5,1953,8,0.061487603
6/30/1953 23:59:59,1953,6,1953,9,0.059504132
7/31/1953 23:59:59,1953,7,1953,10,0.061487603
8/31/1953 23:59:59,1953,8,1953,11,0.061487603
9/30/1953 23:59:59,1953,9,1953,12,0.059504132
10/31/1953 23:59:59,1953,10,1954,1,0.061487603
11/30/1953 23:59:59,1953,11,1954,2,0.059504132
12/31/1953 23:59:59,1953,12,1954,3,0.061487603
1/31/1954 23:59:59,1954,1,1954,4,0.061487603
2/28/1954 23:59:59,1954,2,1954,5,0.05553719
3/31/1954 23:59:59,1954,3,1954,6,0.061487603
4/30/1954 23:59:59,1954,4,1954,7,0.059504132
5/31/1954 23:59:59,1954,5,1954,8,0.061487603
6/30/1954 23:59:59,1954,6,1954,9,0.059504132
7/31/1954 23:59:59,1954,7,1954,10,0.061487603
8/31/1954 23:59:59,1954,8,1954,11,0.061487603
9/30/1954 23:59:59,1954,9,1954,12,0.059504132
10/31/1954 23:59:59,1954,10,1955,1,0.061487603
11/30/1954 23:59:59,1954,11,1955,2,0.059504132
12/31/1954 23:59:59,1954,12,1955,3,0.061487603
1/31/1955 23:59:59,1955,1,1955,4,0.061487603
